bpsName,bpsNumber,groupVeg,acresTotal,acresLeft,percentLeft,disturbance,percentDisturbed,acresDisturbed,acresDisturbedLeft
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,AlternativeSuccession,0.50216,153,69.44062131
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,MixedFire,6.4582,1971,894.5585922
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,AlternativeSuccession,0.3439,640,236.3449507
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,Wind/Weather/Stress,0.20244,377,139.2219475
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,ReplacementFire,0.75458,1404,518.4817355
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,Competition/Maintenance,0.47422,882,325.7128851
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,SurfaceFire,23.20088,43164,15939.98977
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,Insect/Disease,0.08466,158,58.34765969
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,NonReplacementFire,23.4655,43656,16121.67995
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,MixedFire,0.26462,492,181.6901808
Atlantic Coastal Plain Upland Longleaf Pine Woodland,6013470,Conifer,186044,68704,36.92889854,NonFireDisturbances,0.76132,1416,522.9132033
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,NonReplacementFire,2.3707,7194,979.6411951
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,Wind/Weather/Stress,0.2657,806,109.7568534
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,NonFireDisturbances,5.89446,17887,2435.757862
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,NativeGrazing,5.5921,16970,2310.88561
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,AlternativeSuccession,2.28936,6947,946.0060304
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,Insect/Disease,0.03666,111,15.11539792
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,MixedFire,0.76492,2321,316.0616088
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,SurfaceFire,1.60578,4873,663.5795863
Bluegrass Savanna and Woodland,4714130,Hardwood,303463,41324,13.61747561,ReplacementFire,1.23796,3757,511.6085585
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,NonReplacementFire,0.81758,11181,11082.61303
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,SurfaceFire,0.81758,11181,11082.61303
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,ReplacementFire,0.13884,1899,1882.28979
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,Wind/Weather/Stress,0.27784,3800,3766.561981
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,Insect/Disease,0.16136,2207,2187.57955
Boreal Acid Peatland Systems,5114770,Riparian,1367581,1355547,99.12005212,NonFireDisturbances,1.33458,18251,18090.40071
